,Name,User ID,PriceFinal,DLCCount,behavior,hours,IsFree,Metacritic
24590,Grand Theft Auto V,152497084,59.99,0,play,35.0,False,96
24588,Grand Theft Auto V,48984158,59.99,0,play,57.0,False,96
24586,Grand Theft Auto V,43684632,59.99,0,play,18.0,False,96
24516,Grand Theft Auto V,24011187,59.99,0,play,9.7,False,96
24514,Grand Theft Auto V,199693353,59.99,0,play,132.0,False,96
24512,Grand Theft Auto V,45974860,59.99,0,play,94.0,False,96
24629,Grand Theft Auto V,101687527,59.99,0,play,127.0,False,96
24442,Grand Theft Auto V,53875128,59.99,0,play,86.0,False,96
3,Fallout 4,87445402,59.99,7,play,83.0,False,84
24651,Grand Theft Auto V,43955374,59.99,0,play,17.0,False,96
24649,Grand Theft Auto V,174287424,59.99,0,play,58.0,False,96
24647,Grand Theft Auto V,51085779,59.99,0,play,132.0,False,96
24645,Grand Theft Auto V,117949868,59.99,0,play,88.0,False,96
24594,Grand Theft Auto V,167785065,59.99,0,play,104.0,False,96
24643,Grand Theft Auto V,168053527,59.99,0,play,62.0,False,96
24641,Grand Theft Auto V,30699429,59.99,0,play,40.0,False,96
24639,Grand Theft Auto V,142799594,59.99,0,play,28.0,False,96
24637,Grand Theft Auto V,191126693,59.99,0,play,209.0,False,96
24635,Grand Theft Auto V,80189887,59.99,0,play,59.0,False,96
24633,Grand Theft Auto V,75463760,59.99,0,play,1.5,False,96
24631,Grand Theft Auto V,64973908,59.99,0,play,95.0,False,96
24627,Grand Theft Auto V,202057920,59.99,0,play,52.0,False,96
24510,Grand Theft Auto V,148761419,59.99,0,play,236.0,False,96
24625,Grand Theft Auto V,181010210,59.99,0,play,4.2,False,96
24623,Grand Theft Auto V,209807861,59.99,0,play,36.0,False,96
24621,Grand Theft Auto V,46055854,59.99,0,play,217.0,False,96
24619,Grand Theft Auto V,70408902,59.99,0,play,108.0,False,96
24617,Grand Theft Auto V,205965436,59.99,0,play,19.3,False,96
24614,Grand Theft Auto V,65398650,59.99,0,play,6.6,False,96
24612,Grand Theft Auto V,108007732,59.99,0,play,85.0,False,96
24610,Grand Theft Auto V,154458931,59.99,0,play,78.0,False,96
24608,Grand Theft Auto V,145908178,59.99,0,play,263.0,False,96
24606,Grand Theft Auto V,45774794,59.99,0,play,49.0,False,96
24604,Grand Theft Auto V,39037163,59.99,0,play,63.0,False,96
24602,Grand Theft Auto V,58057627,59.99,0,play,21.0,False,96
24600,Grand Theft Auto V,278613910,59.99,0,play,58.0,False,96
24598,Grand Theft Auto V,255622304,59.99,0,play,2.8,False,96
24444,Grand Theft Auto V,11373749,59.99,0,play,61.0,False,96
24446,Grand Theft Auto V,263856756,59.99,0,play,499.0,False,96
24448,Grand Theft Auto V,171847029,59.99,0,play,33.0,False,96
24450,Grand Theft Auto V,226033921,59.99,0,play,86.0,False,96
24508,Grand Theft Auto V,43360645,59.99,0,play,27.0,False,96
24506,Grand Theft Auto V,157058673,59.99,0,play,15.4,False,96
24504,Grand Theft Auto V,67492611,59.99,0,play,40.0,False,96
24502,Grand Theft Auto V,8542204,59.99,0,play,13.1,False,96
24500,Grand Theft Auto V,77830706,59.99,0,play,104.0,False,96
24498,Grand Theft Auto V,65420540,59.99,0,play,17.5,False,96
24496,Grand Theft Auto V,13565651,59.99,0,play,16.4,False,96
24494,Grand Theft Auto V,87734805,59.99,0,play,14.7,False,96
24492,Grand Theft Auto V,74347105,59.99,0,play,235.0,False,96
24490,Grand Theft Auto V,223324734,59.99,0,play,112.0,False,96
24488,Grand Theft Auto V,189858084,59.99,0,play,11.4,False,96
24486,Grand Theft Auto V,272181160,59.99,0,play,8.6,False,96
24484,Grand Theft Auto V,174204642,59.99,0,play,170.0,False,96
24482,Grand Theft Auto V,228908339,59.99,0,play,93.0,False,96
24480,Grand Theft Auto V,191747590,59.99,0,play,9.4,False,96
24478,Grand Theft Auto V,124556386,59.99,0,play,10.5,False,96
24476,Grand Theft Auto V,89732768,59.99,0,play,39.0,False,96
24474,Grand Theft Auto V,131940023,59.99,0,play,7.4,False,96
24472,Grand Theft Auto V,57433226,59.99,0,play,114.0,False,96
24470,Grand Theft Auto V,48028873,59.99,0,play,7.4,False,96
24468,Grand Theft Auto V,160427210,59.99,0,play,44.0,False,96
24466,Grand Theft Auto V,218680215,59.99,0,play,2.2,False,96
24464,Grand Theft Auto V,102825821,59.99,0,play,27.0,False,96
24462,Grand Theft Auto V,58029555,59.99,0,play,68.0,False,96
24460,Grand Theft Auto V,44482198,59.99,0,play,2.5,False,96
24458,Grand Theft Auto V,131973876,59.99,0,play,8.1,False,96
24456,Grand Theft Auto V,43913966,59.99,0,play,74.0,False,96
24454,Grand Theft Auto V,142001340,59.99,0,play,134.0,False,96
24452,Grand Theft Auto V,42061089,59.99,0,play,52.0,False,96
24932,Grand Theft Auto V,45292137,59.99,0,play,38.0,False,96
24928,Grand Theft Auto V,57770056,59.99,0,play,42.0,False,96
24659,Grand Theft Auto V,297379779,59.99,0,play,16.8,False,96
24759,Grand Theft Auto V,88775181,59.99,0,play,151.0,False,96
24731,Grand Theft Auto V,30913209,59.99,0,play,68.0,False,96
24733,Grand Theft Auto V,7907686,59.99,0,play,1.8,False,96
24735,Grand Theft Auto V,131610144,59.99,0,play,185.0,False,96
24737,Grand Theft Auto V,109175936,59.99,0,play,137.0,False,96
24739,Grand Theft Auto V,59382844,59.99,0,play,85.0,False,96
24741,Grand Theft Auto V,159734412,59.99,0,play,4.9,False,96
24743,Grand Theft Auto V,276958784,59.99,0,play,12.0,False,96
24745,Grand Theft Auto V,17530772,59.99,0,play,192.0,False,96
24747,Grand Theft Auto V,11940338,59.99,0,play,46.0,False,96
24749,Grand Theft Auto V,77194239,59.99,0,play,43.0,False,96
24751,Grand Theft Auto V,35433662,59.99,0,play,67.0,False,96
24753,Grand Theft Auto V,203092936,59.99,0,play,50.0,False,96
24755,Grand Theft Auto V,155042139,59.99,0,play,107.0,False,96
24757,Grand Theft Auto V,17567828,59.99,0,play,209.0,False,96
24761,Grand Theft Auto V,82352462,59.99,0,play,10.0,False,96
24727,Grand Theft Auto V,195780309,59.99,0,play,106.0,False,96
24763,Grand Theft Auto V,287778652,59.99,0,play,7.7,False,96
24765,Grand Theft Auto V,94936385,59.99,0,play,54.0,False,96
24767,Grand Theft Auto V,193196975,59.99,0,play,18.8,False,96
24769,Grand Theft Auto V,159077305,59.99,0,play,3.2,False,96
24771,Grand Theft Auto V,230944154,59.99,0,play,7.0,False,96
24773,Grand Theft Auto V,36557643,59.99,0,play,3.1,False,96
24775,Grand Theft Auto V,46028967,59.99,0,play,16.1,False,96
24777,Grand Theft Auto V,101212067,59.99,0,play,35.0,False,96
24779,Grand Theft Auto V,19696244,59.99,0,play,136.0,False,96
24781,Grand Theft Auto V,139873696,59.99,0,play,47.0,False,96
24783,Grand Theft Auto V,192170147,59.99,0,play,21.0,False,96
24785,Grand Theft Auto V,197190654,59.99,0,play,49.0,False,96
24787,Grand Theft Auto V,115167911,59.99,0,play,248.0,False,96
24789,Grand Theft Auto V,191979928,59.99,0,play,150.0,False,96
24729,Grand Theft Auto V,55761025,59.99,0,play,36.0,False,96
24725,Grand Theft Auto V,170947678,59.99,0,play,27.0,False,96
24926,Grand Theft Auto V,82263745,59.99,0,play,38.0,False,96
24690,Grand Theft Auto V,123128145,59.99,0,play,841.0,False,96
24661,Grand Theft Auto V,133024750,59.99,0,play,30.0,False,96
24663,Grand Theft Auto V,112865325,59.99,0,play,32.0,False,96
24665,Grand Theft Auto V,233532285,59.99,0,play,381.0,False,96
24667,Grand Theft Auto V,91859894,59.99,0,play,55.0,False,96
24670,Grand Theft Auto V,34919318,59.99,0,play,74.0,False,96
24672,Grand Theft Auto V,241465305,59.99,0,play,62.0,False,96
24674,Grand Theft Auto V,103371488,59.99,0,play,260.0,False,96
24676,Grand Theft Auto V,22301321,59.99,0,play,2.0,False,96
24678,Grand Theft Auto V,107743243,59.99,0,play,337.0,False,96
24680,Grand Theft Auto V,199841615,59.99,0,play,36.0,False,96
24682,Grand Theft Auto V,59205262,59.99,0,play,27.0,False,96
24684,Grand Theft Auto V,113752996,59.99,0,play,339.0,False,96
24686,Grand Theft Auto V,251594700,59.99,0,play,62.0,False,96
24688,Grand Theft Auto V,27403206,59.99,0,play,10.3,False,96
24692,Grand Theft Auto V,113227222,59.99,0,play,21.0,False,96
24723,Grand Theft Auto V,201656921,59.99,0,play,208.0,False,96
24694,Grand Theft Auto V,218463646,59.99,0,play,6.9,False,96
24696,Grand Theft Auto V,202738708,59.99,0,play,446.0,False,96
24698,Grand Theft Auto V,79017735,59.99,0,play,97.0,False,96
24700,Grand Theft Auto V,190305835,59.99,0,play,150.0,False,96
24702,Grand Theft Auto V,51557405,59.99,0,play,40.0,False,96
24704,Grand Theft Auto V,216688763,59.99,0,play,109.0,False,96
24706,Grand Theft Auto V,80550861,59.99,0,play,4.3,False,96
24708,Grand Theft Auto V,161240367,59.99,0,play,94.0,False,96
24710,Grand Theft Auto V,234114335,59.99,0,play,21.0,False,96
24713,Grand Theft Auto V,152741550,59.99,0,play,29.0,False,96
24715,Grand Theft Auto V,178038549,59.99,0,play,389.0,False,96
24717,Grand Theft Auto V,260788360,59.99,0,play,9.4,False,96
24719,Grand Theft Auto V,185258131,59.99,0,play,99.0,False,96
24721,Grand Theft Auto V,190191843,59.99,0,play,175.0,False,96
24791,Grand Theft Auto V,10599862,59.99,0,play,3.1,False,96
24793,Grand Theft Auto V,14962163,59.99,0,play,9.1,False,96
24795,Grand Theft Auto V,163930591,59.99,0,play,80.0,False,96
24894,Grand Theft Auto V,157193017,59.99,0,play,96.0,False,96
24866,Grand Theft Auto V,168726386,59.99,0,play,82.0,False,96
24868,Grand Theft Auto V,201768926,59.99,0,play,5.5,False,96
24870,Grand Theft Auto V,14465359,59.99,0,play,38.0,False,96
24872,Grand Theft Auto V,67579257,59.99,0,play,49.0,False,96
24874,Grand Theft Auto V,252918139,59.99,0,play,16.2,False,96
24876,Grand Theft Auto V,252083412,59.99,0,play,35.0,False,96
24878,Grand Theft Auto V,78309377,59.99,0,play,58.0,False,96
24880,Grand Theft Auto V,161816812,59.99,0,play,66.0,False,96
24882,Grand Theft Auto V,192503967,59.99,0,play,96.0,False,96
24884,Grand Theft Auto V,158974308,59.99,0,play,231.0,False,96
24886,Grand Theft Auto V,44314169,59.99,0,play,3.5,False,96
24888,Grand Theft Auto V,293587092,59.99,0,play,13.4,False,96
24890,Grand Theft Auto V,111422562,59.99,0,play,127.0,False,96
24892,Grand Theft Auto V,236188947,59.99,0,play,147.0,False,96
24896,Grand Theft Auto V,26762388,59.99,0,play,103.0,False,96
24797,Grand Theft Auto V,142433607,59.99,0,play,4.6,False,96
24655,Grand Theft Auto V,29873979,59.99,0,play,8.0,False,96
24900,Grand Theft Auto V,119239620,59.99,0,play,90.0,False,96
24902,Grand Theft Auto V,81591317,59.99,0,play,23.0,False,96
24904,Grand Theft Auto V,198081354,59.99,0,play,59.0,False,96
24906,Grand Theft Auto V,136397050,59.99,0,play,128.0,False,96
24908,Grand Theft Auto V,87040683,59.99,0,play,122.0,False,96
24910,Grand Theft Auto V,38317154,59.99,0,play,52.0,False,96
24912,Grand Theft Auto V,138482130,59.99,0,play,49.0,False,96
24914,Grand Theft Auto V,221694858,59.99,0,play,149.0,False,96
24916,Grand Theft Auto V,51382080,59.99,0,play,14.8,False,96
24918,Grand Theft Auto V,117022366,59.99,0,play,22.0,False,96
24920,Grand Theft Auto V,298178235,59.99,0,play,5.9,False,96
24922,Grand Theft Auto V,298822624,59.99,0,play,29.0,False,96
24924,Grand Theft Auto V,37294596,59.99,0,play,24.0,False,96
24864,Grand Theft Auto V,172518437,59.99,0,play,43.0,False,96
24862,Grand Theft Auto V,259454041,59.99,0,play,12.7,False,96
24860,Grand Theft Auto V,189929581,59.99,0,play,364.0,False,96
24858,Grand Theft Auto V,5387470,59.99,0,play,9.3,False,96
24799,Grand Theft Auto V,183048608,59.99,0,play,118.0,False,96
24801,Grand Theft Auto V,174002551,59.99,0,play,86.0,False,96
24804,Grand Theft Auto V,83625754,59.99,0,play,48.0,False,96
24806,Grand Theft Auto V,193087158,59.99,0,play,103.0,False,96
24808,Grand Theft Auto V,31187179,59.99,0,play,106.0,False,96
24810,Grand Theft Auto V,2753525,59.99,0,play,154.0,False,96
24812,Grand Theft Auto V,61189155,59.99,0,play,103.0,False,96
24814,Grand Theft Auto V,27545486,59.99,0,play,277.0,False,96
24816,Grand Theft Auto V,12760368,59.99,0,play,0.6,False,96
24818,Grand Theft Auto V,231493001,59.99,0,play,302.0,False,96
24820,Grand Theft Auto V,137610845,59.99,0,play,17.7,False,96
24822,Grand Theft Auto V,41719717,59.99,0,play,71.0,False,96
24824,Grand Theft Auto V,187463594,59.99,0,play,275.0,False,96
24826,Grand Theft Auto V,62658713,59.99,0,play,12.2,False,96
24828,Grand Theft Auto V,262195804,59.99,0,play,52.0,False,96
24830,Grand Theft Auto V,12144171,59.99,0,play,29.0,False,96
24832,Grand Theft Auto V,84045371,59.99,0,play,14.0,False,96
24834,Grand Theft Auto V,202427012,59.99,0,play,84.0,False,96
24836,Grand Theft Auto V,236496373,59.99,0,play,174.0,False,96
24838,Grand Theft Auto V,132300630,59.99,0,play,194.0,False,96
24840,Grand Theft Auto V,10253354,59.99,0,play,49.0,False,96
24842,Grand Theft Auto V,95037089,59.99,0,play,65.0,False,96
24844,Grand Theft Auto V,144845684,59.99,0,play,28.0,False,96
24846,Grand Theft Auto V,92595907,59.99,0,play,3.3,False,96
24848,Grand Theft Auto V,11149819,59.99,0,play,27.0,False,96
24850,Grand Theft Auto V,32126281,59.99,0,play,207.0,False,96
24852,Grand Theft Auto V,207718097,59.99,0,play,140.0,False,96
24854,Grand Theft Auto V,136219907,59.99,0,play,115.0,False,96
24856,Grand Theft Auto V,268845100,59.99,0,play,34.0,False,96
24898,Grand Theft Auto V,122094388,59.99,0,play,17.2,False,96
1,Fallout 4,151603712,59.99,7,play,87.0,False,84
24596,Grand Theft Auto V,294785149,59.99,0,play,18.6,False,96
92003,NBA 2K15,209869297,59.99,0,play,245.0,False,0
91981,NBA 2K15,273268792,59.99,0,play,10.5,False,0
91983,NBA 2K15,202057920,59.99,0,play,395.0,False,0
91985,NBA 2K15,134516625,59.99,0,play,0.3,False,0
91987,NBA 2K15,252044076,59.99,0,play,308.0,False,0
91989,NBA 2K15,18500119,59.99,0,play,110.0,False,0
91991,NBA 2K15,10599862,59.99,0,play,162.0,False,0
91993,NBA 2K15,95084569,59.99,0,play,8.4,False,0
91995,NBA 2K15,155963474,59.99,0,play,229.0,False,0
91997,NBA 2K15,187463594,59.99,0,play,401.0,False,0
91999,NBA 2K15,202427012,59.99,0,play,69.0,False,0
92001,NBA 2K15,132300630,59.99,0,play,143.0,False,0
92006,NBA 2K15,200821590,59.99,0,play,209.0,False,0
97554,NBA 2K16,45974860,59.99,0,play,7.3,False,0
92008,NBA 2K15,61990738,59.99,0,play,24.0,False,0
92010,NBA 2K15,156407373,59.99,0,play,7.5,False,0
92012,NBA 2K15,42657809,59.99,0,play,104.0,False,0
92015,NBA 2K15,161896440,59.99,0,play,67.0,False,0
233,Fallout 4,10599862,59.99,7,play,99.0,False,84
235,Fallout 4,122956129,59.99,7,play,64.0,False,84
237,Fallout 4,251635136,59.99,7,play,26.0,False,84
239,Fallout 4,167815968,59.99,7,play,38.0,False,84
241,Fallout 4,129117376,59.99,7,play,43.0,False,84
243,Fallout 4,31187179,59.99,7,play,13.8,False,84
245,Fallout 4,294585971,59.99,7,play,250.0,False,84
91979,NBA 2K15,70408902,59.99,0,play,111.0,False,0
91977,NBA 2K15,123101539,59.99,0,play,91.0,False,0
91974,NBA 2K15,158173228,59.99,0,play,20.0,False,0
231,Fallout 4,124725852,59.99,7,play,134.0,False,84
185,Fallout 4,80550861,59.99,7,play,54.0,False,84
255,Fallout 4,13190476,59.99,7,play,629.0,False,84
189,Fallout 4,88525821,59.99,7,play,23.0,False,84
191,Fallout 4,301613541,59.99,7,play,2.0,False,84
193,Fallout 4,127335438,59.99,7,play,78.0,False,84
195,Fallout 4,185258131,59.99,7,play,172.0,False,84
197,Fallout 4,190191843,59.99,7,play,23.0,False,84
199,Fallout 4,58761868,59.99,7,play,179.0,False,84
201,Fallout 4,17530772,59.99,7,play,67.0,False,84
203,Fallout 4,156565178,59.99,7,play,41.0,False,84
205,Fallout 4,213720494,59.99,7,play,31.0,False,84
207,Fallout 4,11940338,59.99,7,play,39.0,False,84
209,Fallout 4,83135348,59.99,7,play,46.0,False,84
211,Fallout 4,185079540,59.99,7,play,49.0,False,84
213,Fallout 4,118852041,59.99,7,play,10.4,False,84
215,Fallout 4,16084897,59.99,7,play,236.0,False,84
217,Fallout 4,20704366,59.99,7,play,35.0,False,84
219,Fallout 4,48798067,59.99,7,play,44.0,False,84
221,Fallout 4,36557643,59.99,7,play,54.0,False,84
223,Fallout 4,19696244,59.99,7,play,33.0,False,84
225,Fallout 4,115167911,59.99,7,play,114.0,False,84
227,Fallout 4,199013605,59.99,7,play,3.3,False,84
229,Fallout 4,238169854,59.99,7,play,29.0,False,84
97552,NBA 2K16,113423671,59.99,0,play,8.8,False,0
97556,NBA 2K16,70408902,59.99,0,play,23.0,False,0
181,Fallout 4,58530556,59.99,7,play,83.0,False,84
284,Fallout 4,67579257,59.99,7,play,24.0,False,84
306,Fallout 4,135147743,59.99,7,play,12.9,False,84
304,Fallout 4,58289184,59.99,7,play,99.0,False,84
302,Fallout 4,92436417,59.99,7,play,85.0,False,84
300,Fallout 4,105503045,59.99,7,play,6.7,False,84
298,Fallout 4,298178235,59.99,7,play,54.0,False,84
296,Fallout 4,138482130,59.99,7,play,63.0,False,84
294,Fallout 4,38317154,59.99,7,play,80.0,False,84
292,Fallout 4,122094388,59.99,7,play,14.6,False,84
290,Fallout 4,59925638,59.99,7,play,135.0,False,84
288,Fallout 4,44314169,59.99,7,play,5.1,False,84
286,Fallout 4,161816812,59.99,7,play,23.0,False,84
282,Fallout 4,14465359,59.99,7,play,38.0,False,84
97558,NBA 2K16,202057920,59.99,0,play,9.2,False,0
279,Fallout 4,44545959,59.99,7,play,54.0,False,84
277,Fallout 4,109598076,59.99,7,play,16.2,False,84
275,Fallout 4,32126281,59.99,7,play,127.0,False,84
273,Fallout 4,95037089,59.99,7,play,50.0,False,84
271,Fallout 4,10253354,59.99,7,play,62.0,False,84
269,Fallout 4,188471612,59.99,7,play,4.4,False,84
267,Fallout 4,236496373,59.99,7,play,67.0,False,84
265,Fallout 4,40084096,59.99,7,play,48.0,False,84
263,Fallout 4,65145468,59.99,7,play,84.0,False,84
261,Fallout 4,12144171,59.99,7,play,4.4,False,84
259,Fallout 4,262195804,59.99,7,play,1.0,False,84
308,Fallout 4,166880158,59.99,7,play,66.0,False,84
310,Fallout 4,31669242,59.99,7,play,67.0,False,84
312,Fallout 4,127628725,59.99,7,play,1.2,False,84
314,Fallout 4,45353031,59.99,7,play,15.1,False,84
97560,NBA 2K16,201187797,59.99,0,play,293.0,False,0
97562,NBA 2K16,156748261,59.99,0,play,22.0,False,0
97564,NBA 2K16,10599862,59.99,0,play,49.0,False,0
97567,NBA 2K16,155963474,59.99,0,play,131.0,False,0
97569,NBA 2K16,187463594,59.99,0,play,84.0,False,0
97571,NBA 2K16,75155353,59.99,0,play,78.0,False,0
97573,NBA 2K16,172518437,59.99,0,play,23.0,False,0
97575,NBA 2K16,64514291,59.99,0,play,265.0,False,0
247,Fallout 4,40212239,59.99,7,play,105.0,False,84
51173,Spriter Pro,26302344,59.99,6,play,2.5,False,0
249,Fallout 4,55755821,59.99,7,play,7.6,False,84
251,Fallout 4,8776918,59.99,7,play,166.0,False,84
253,Fallout 4,48626533,59.99,7,play,9.3,False,84
334,Fallout 4,161896440,59.99,7,play,2.2,False,84
332,Fallout 4,154230723,59.99,7,play,5.4,False,84
330,Fallout 4,42657809,59.99,7,play,44.0,False,84
328,Fallout 4,92276000,59.99,7,play,12.2,False,84
326,Fallout 4,47384303,59.99,7,play,23.0,False,84
324,Fallout 4,36404933,59.99,7,play,62.0,False,84
322,Fallout 4,108264287,59.99,7,play,34.0,False,84
320,Fallout 4,47457723,59.99,7,play,4.9,False,84
318,Fallout 4,133378280,59.99,7,play,173.0,False,84
316,Fallout 4,6144819,59.99,7,play,46.0,False,84
183,Fallout 4,30246419,59.99,7,play,97.0,False,84
187,Fallout 4,167167647,59.99,7,play,60.0,False,84
179,Fallout 4,62481936,59.99,7,play,62.0,False,84
43,Fallout 4,76420334,59.99,7,play,61.0,False,84
21,Fallout 4,64787956,59.99,7,play,42.0,False,84
23,Fallout 4,68316900,59.99,7,play,29.0,False,84
25,Fallout 4,48028873,59.99,7,play,48.0,False,84
27,Fallout 4,131940023,59.99,7,play,81.0,False,84
29,Fallout 4,89732768,59.99,7,play,44.0,False,84
31,Fallout 4,115037563,59.99,7,play,14.6,False,84
33,Fallout 4,13565651,59.99,7,play,29.0,False,84
35,Fallout 4,65420540,59.99,7,play,5.2,False,84
37,Fallout 4,101690993,59.99,7,play,74.0,False,84
39,Fallout 4,53898495,59.99,7,play,15.4,False,84
41,Fallout 4,77830706,59.99,7,play,3.0,False,84
45,Fallout 4,45974860,59.99,7,play,35.0,False,84
